"t","N"
0,879
60,1850
120,3429
180,5815
240,11066
300,20136
360,36541
420,66632
480,121454
540,221317
600,403378
660,734986
720,1339323
780,2440509
840,4446833
900,8101979
960,14761098
1020,26891038
1080,48980700
1140,89189191
1200,162314516
1260,295099947
1320,535541768
1380,968712456
1440,1741987144
1500,3100111942
1560,5418602928
1620,9190950525
1680,14873874162
1740,22513649502
1800,31351258643
1860,39959949488
1920,47050302733
1980,52126322991
2040,55406882613
2100,57389063663
2160,58538390760
2220,59188937427
2280,59552148003
2340,59753383036
2400,59864402443
2460,59925506338
2520,59959094070
2580,59977543461
2640,59987673424
2700,59993234362
2760,59996286693
2820,59997961973
2880,59998881506
2940,59999386131
3000,59999662947
3060,59999815062
3120,59999898425
3180,59999944214
3240,59999969423
3300,59999983284
3360,59999990960
3420,59999994871
3480,59999997388
3540,59999998363
3600,59999999231
3660,59999999797
3720,59999999745
3780,59999999795
3840,59999999923
3900,60000000136
3960,59999999863
4020,60000000124
4080,60000000126
4140,60000000030
4200,59999999999
4260,59999999953
4320,59999999963
4380,60000000064
4440,60000000207
4500,59999999985
4560,59999999861
4620,59999999928
4680,60000000026
4740,59999999968
4800,59999999982
4860,59999999983
4920,59999999863
4980,59999999983
